,Dataset: REISTERK-1986,,,,,,,,,,,
,Data From (Title): Battle Casualties and Medical Statistics:,,,,,,,,,,,
,"US Army Experience in the Korean War (Chapter 2, pasim).",,,,,,,,,,,
,"Author: Reister, Frank A.",,,,,,,,,,,
,Organization: The Surgeon General.,,,,,,,,,,,
,"Address: Department of the Army, Washington, DC.",,,,,,,,,,,
,Publication Date: 1986.,,,,,,,,,,,
,Classification: UNCLASSIFIED,,,,,,,,,,,
,Source Available From: Libraries.,,,,,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,,,,,
,Spreadsheet last revised: 1 November 1993.,,,,,,,,,,,
=,=,=,=,=,=,=,=,=,=,=,=,=
,Data on Division-level Units,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-
,,Operation,,Start,End,Type ,No. of,No. of,Mean Unit,,,
No.,Page,Type,Operation Name,Date,Date,Unit,Units,Unit-Days,Strength,KIA,WIA-CRO,WIA-Adm
-,-,-,-,-,-,-,-,-,-,-,-,-
1,23,Offensive,Breakout of Pusan Perimeter,09/16/1950,09/27/1950,Division,4,48,15217,790,340,3204
2,23,Offensive,Inchon Landing and Liberation of Seoul,09/18/1950,09/30/1950,Division,1,13,14127,94,5,319
3,23,Offensive,United Nations Counteroffensive,01/25/1951,02/20/1951,Division,6,125,16495,667,218,2903
4,23,Offensive,Operation KILLER,02/21/1951,03/07/1951,Division,4,56,16135,144,117,804
5,23,Offensive,Operation RIPPER,03/07/1951,04/04/1951,Division,6,161,16562,566,329,2891
6,23,Offensive,Operation RUGGED,04/01/1951,04/15/1951,Division,6,44,17278,156,136,765
7,23,Offensive,Operation DAUNTLESS,04/10/1951,04/22/1951,Division,3,36,18479,95,73,983
8,23,Offensive,Operation DETONATE,05/20/1951,06/08/1951,Division,6,88,19201,530,376,2819
9,23,Offensive,Operation PILEDRIVER,06/03/1951,06/12/1951,Division,4,35,18622,231,379,1408
10,23,Offensive,Operation COMMANDO,10/03/1951,10/15/1951,Division,2,16,19942,405,230,2008
11,23,Offensive,Operations NOMAD/POLAR and MISSOURI,10/13/1951,10/22/1951,Division,1,10,21585,265,76,1411
12,26,Pursuit,South of 38th Parallel,09/28/1950,11/30/1950,Division,5,113,16946,194,129,509
13,26,Pursuit,North of 38th Parallel,10/05/1950,11/27/1950,Division,5,162,15601,463,129,1941
14,26,Pursuit,Iwon Landing & Pursuit,10/31/1950,11/27/1950,Division,1,28,14788,45,5,179
15,26,Static,"Line ""D""",01/05/1951,01/29/1951,Division,6,107,16548,93,13,266
16,26,Static,Line BOSTON,02/18/1951,03/06/1951,Division,2,32,16194,22,26,99
17,26,Static,Line KANSAS,04/04/1951,04/29/1951,Division,6,48,17847,46,74,183
18,26,Static,Line GOLDEN,04/29/1951,05/19/1951,Division,3,58,19323,33,151,254
